Q0045	MT-CO1
YER028C	ZNF439
YER028C	ZNF44
YER028C	ZNF440
YER028C	ZNF441
YER028C	ZNF442
YER028C	ZNF443
YER028C	ZNF454
YER028C	ZNF460
YER028C	ZNF461
YER028C	ZNF467
YER028C	ZNF468
YER028C	ZNF470
YER028C	ZNF471
YER028C	ZNF479
YER028C	ZNF48
YER028C	ZNF480
YER028C	ZNF484
YER028C	ZNF485
YER028C	ZNF486
YER028C	ZNF490
YER028C	ZNF491
YER028C	ZNF492
YER028C	ZNF493
YER028C	ZNF496
YER028C	ZNF497
YER028C	ZNF501
YER028C	ZNF502
YER028C	ZNF506
YER028C	ZNF510
YER028C	ZNF514
YER028C	ZNF516
YER028C	ZNF517
YER028C	ZNF519
YER028C	ZNF524
YER028C	ZNF525
YER028C	ZNF526
YER028C	ZNF527
YER028C	ZNF528
YER028C	ZNF529
YER028C	ZNF530
YER028C	ZNF534
YER028C	ZNF540
YER028C	ZNF543
YER028C	ZNF544
YER028C	ZNF546
YER028C	ZNF547
YER028C	ZNF548
YER028C	ZNF549
YER028C	ZNF550
YER028C	ZNF551
YER028C	ZNF552
YER028C	ZNF554
YER028C	ZNF555
YER028C	ZNF556
YER028C	ZNF557
YER028C	ZNF558
YER028C	ZNF559
YER028C	ZNF560
YER028C	ZNF561
YER028C	ZNF562
YER028C	ZNF563
YER028C	ZNF564
YER028C	ZNF565
YER028C	ZNF566
YER028C	ZNF567
YER028C	ZNF568
YER028C	ZNF569
YER028C	ZNF57
YER028C	ZNF570
YER028C	ZNF572
YER028C	ZNF573
YER028C	ZNF574
YER028C	ZNF575
YER028C	ZNF576
YER028C	ZNF577
YER028C	ZNF578
YER028C	ZNF579
YER028C	ZNF580
YER028C	ZNF581
YER028C	ZNF582
YER028C	ZNF583
YER028C	ZNF584
YER028C	ZNF585A
YER028C	ZNF585B
YER028C	ZNF586
YER028C	ZNF587
YER028C	ZNF594
YER028C	ZNF595
YER028C	ZNF596
YER028C	ZNF597
YER028C	ZNF599
YER028C	ZNF600
YER028C	ZNF605
YER028C	ZNF606
YER028C	ZNF607
YER028C	ZNF610
YER028C	ZNF611
YER028C	ZNF613
YER028C	ZNF614
YER028C	ZNF615
YER028C	ZNF616
YER028C	ZNF619
YER028C	ZNF620
YER028C	ZNF621
YER028C	ZNF623
YER028C	ZNF624
YER028C	ZNF625
YER028C	ZNF626
YER028C	ZNF627
YER028C	ZNF629
YER028C	ZNF630
YER028C	ZNF641
YER028C	ZNF646
YER028C	ZNF648
YER028C	ZNF649
YER028C	ZNF652
YER028C	ZNF653
YER028C	ZNF655
YER028C	ZNF658
YER028C	ZNF660
YER028C	ZNF662
YER028C	ZNF664
YER028C	ZNF665
YER028C	ZNF667
YER028C	ZNF668
YER028C	ZNF669
YER028C	ZNF670
YER028C	ZNF671
YER028C	ZNF672
YER028C	ZNF674
YER028C	ZNF676
YER028C	ZNF677
YER028C	ZNF678
YER028C	ZNF679
YER028C	ZNF680
YER028C	ZNF681
YER028C	ZNF682
YER028C	ZNF683
YER028C	ZNF684
YER028C	ZNF688
YER028C	ZNF689
YER028C	ZNF69
YER028C	ZNF692
YER028C	ZNF696
YER028C	ZNF697
YER028C	ZNF699
YER028C	ZNF70
YER028C	ZNF700
YER028C	ZNF701
YER028C	ZNF705A
YER028C	ZNF705B
YER028C	ZNF705D
YER028C	ZNF707
YER028C	ZNF708
YER028C	ZNF709
YER028C	ZNF71
YER028C	ZNF710
YER028C	ZNF711
YER028C	ZNF713
YER028C	ZNF714
YER028C	ZNF716
YER028C	ZNF717
YER028C	ZNF721
YER028C	ZNF724P
YER028C	ZNF726
YER028C	ZNF727
YER028C	ZNF729
YER028C	ZNF730
YER028C	ZNF732
YER028C	ZNF736
YER028C	ZNF737
YER028C	ZNF740
YER028C	ZNF746
YER028C	ZNF749
YER028C	ZNF75A
YER028C	ZNF76
YER028C	ZNF763
YER028C	ZNF764
YER028C	ZNF765
YER028C	ZNF766
YER028C	ZNF77
YER028C	ZNF770
YER028C	ZNF771
YER028C	ZNF772
YER028C	ZNF773
YER028C	ZNF774
YER028C	ZNF775
YER028C	ZNF776
YER028C	ZNF777
YER028C	ZNF778
YER028C	ZNF780A
YER028C	ZNF780B
YER028C	ZNF781
YER028C	ZNF782
YER028C	ZNF783
YER028C	ZNF784
YER028C	ZNF785
YER028C	ZNF786
YER028C	ZNF787
YER028C	ZNF788
YER028C	ZNF789
YER028C	ZNF79
YER028C	ZNF790
YER028C	ZNF791
YER028C	ZNF792
YER028C	ZNF793
YER028C	ZNF799
YER028C	ZNF8
YER028C	ZNF80
YER028C	ZNF805
YER028C	ZNF808
YER028C	ZNF81
YER028C	ZNF812
YER028C	ZNF813
YER028C	ZNF816
YER028C	ZNF823
YER028C	ZNF827
YER028C	ZNF829
YER028C	ZNF83
YER028C	ZNF835
YER028C	ZNF836
YER028C	ZNF837
YER028C	ZNF84
YER028C	ZNF841
YER028C	ZNF844
YER028C	ZNF845
YER028C	ZNF846
YER028C	ZNF85
YER028C	ZNF850
YER028C	ZNF860
YER028C	ZNF865
YER028C	ZNF878
YER028C	ZNF879
YER028C	ZNF891
YER028C	ZNF90
YER028C	ZNF91
YER028C	ZNF92
YER028C	ZNF93
YER028C	ZNF98
YER028C	ZNF99
YER028C	ZSCAN10
YER028C	ZXDB
YER029C	LSM1
YER029C	LSM2
YER029C	LSM3
YER029C	LSM4
YER029C	LSM5
YER029C	LSM6
YER029C	LSM7
YER029C	NAA38
YER029C	SNRPB
YER029C	SNRPD1
YER029C	SNRPD2
YER029C	SNRPD3
YER029C	SNRPE
YER029C	SNRPF
YER029C	SNRPG
YER030W	HIRIP3
YER031C	RAB2B
YER031C	RAB39B
YER031C	SAR1A
YER039C	SLC35D2
YER039C	SLC35F2
YER043C	AHCY
YER044C	C14orf1
YER045C	BACH2
YER045C	CEBPD
YER045C	NFE2L3
YER048W-A	SDHAF1
YER050C	MRPS18A
YER050C	MRPS18B
YER050C	MRPS18C
YER052C	ALDH18A1
YER054C	PPP1R3A
YER054C	PPP1R3B
YER054C	PPP1R3C
YER054C	PPP1R3D
YER054C	PPP1R3E
YER061C	OXSM
YER063W	CCAR1
YER063W	HNRNPU
YER063W	HNRNPUL1
YER063W	SAFB2
YER063W	SARNP
YER063W	SLTM
YER066W	CDRT1
YER066W	DCAF12L1
YER066W	LRBA
YER066W	STRN4
YER066W	TBL2
YER066W	WDFY1
YER066W	WDR36
YER066W	WDR46
YER066W	WDR55
YER066W	WDR59
YER066W	WDR74
YER066W	WSB1
YER069W	ALDH18A1
YER069W	NAGS
YER070W	RRM1
YER075C	DUSP5
YER075C	DUSP8
YER075C	DUSP9
YER078C	METAP1
YER078C	METAP1D
YER078C	METAP2
YER078C	XPNPEP1
YER078C	XPNPEP2
YER078C	XPNPEP3
YER082C	BOP1
YER082C	DCAF13
YER082C	KM-PA-2
YER082C	RRP9
YER082C	TBL3
YER082C	UTP15
YER082C	UTP18
YER082C	WDR12
YER082C	WDR55
YER095W	RAD51
YER095W	RAD51B
YER095W	RAD51C
YER095W	RAD51D
YER095W	XRCC3
YER098W	USP11
YER098W	USP12
YER098W	USP25
YER098W	USP26
YER098W	USP29
YER098W	USP32
YER098W	USP4
YER098W	USP6
YER100W	CDC34
YER100W	UBE2D2
YER100W	UBE2E2
YER100W	UBE2F
YER100W	UBE2G2
YER100W	UBE2J1
YER100W	UBE2L3
YER100W	UBE2M
YER100W	UBE2R2
YER100W	UBE2T
YER100W	UBE2W
YER101C	ZADH2
YER103W	HSPA14
YER103W	HSPA4L
YER103W	HSPA9
YER105C	NUP155
YER110C	IPO11
YER110C	IPO13
YER110C	IPO4
YER110C	IPO5
YER110C	IPO9
YER110C	RANBP17
YER110C	TNPO2
YER110C	XPO6
YER110C	XPO7
YER110C	XPOT
YER112W	LSM1
YER112W	LSM2
YER112W	LSM3
YER112W	LSM4
YER112W	LSM5
YER112W	LSM6
YER112W	LSM7
YER112W	NAA38
YER112W	SNRPB
YER112W	SNRPD1
YER112W	SNRPD2
YER112W	SNRPD3
YER112W	SNRPE
YER112W	SNRPF
YER112W	SNRPG
YER114C	CNKSR1
YER117W	MRPL14
YER123W	AATK
YER123W	ARAF
YER123W	CDC42BPG
YER123W	CDK17
YER123W	CDK18
YER123W	CDKL3
YER123W	CLK1
YER123W	CLK3
YER123W	CLK4
YER123W	CSNK1G1
YER123W	DYRK1B
YER123W	DYRK3
YER123W	DYRK4
YER123W	MAP3K12
YER123W	MLK4
YER123W	MOK
YER123W	PBK
YER123W	PEAK1
YER123W	PKN3
YER123W	PRKD3
YER123W	PRPF4B
YER123W	PSKH1
YER123W	PTK6
YER123W	SCYL3
YER123W	SIK3
YER123W	SLK
YER123W	SNRK
YER123W	STK10
YER123W	STK16
YER123W	STK33
YER123W	TNNI3K
YER123W	TP53RK
YER123W	TSSK2
YER123W	VRK1
YER123W	VRK2
YER123W	WNK2
YER129W	CDK17
YER129W	CLK1
YER129W	CLK3
YER129W	CLK4
YER129W	DYRK4
YER129W	MAP3K12
YER129W	PRPF4B
YER129W	PSKH1
YER129W	SIK3
YER129W	STK10
YER129W	TNNI3K
YER129W	TP53RK
YER130C	GLI4
YER130C	ZSCAN22
YER142C	MUTYH
YER142C	NTHL1
YER143W	NUB1
YER143W	UBE2K
YER143W	USP5
YER144C	STYXL1
YER144C	USP11
YER144C	USP12
YER144C	USP25
YER144C	USP26
YER144C	USP29
YER144C	USP32
YER144C	USP4
YER144C	USP6
YER146W	LSM1
YER146W	LSM2
YER146W	LSM3
YER146W	LSM4
YER146W	LSM5
YER146W	LSM6
YER146W	LSM7
YER146W	NAA38
YER146W	SNRPB
YER146W	SNRPD1
YER146W	SNRPD2
YER146W	SNRPD3
YER146W	SNRPE
YER146W	SNRPF
YER146W	SNRPG
YER148W	TBP
YER148W	TBPL1
YER148W	TBPL2
YER151C	USP11
YER151C	USP12
YER151C	USP26
YER151C	USP32
YER151C	USP4
YER151C	USP6
YER154W	COX18
YER155C	ARHGAP26
YER155C	ARHGAP4
YER156C	C12orf10
YER157W	COG3
YER159C	DR1
YER159C	DRAP1
YER159C	NFYB
YER159C	NFYC
YER163C	CHAC2
YER164W	CBX3
YER164W	CBX4
YER164W	CBX6
YER164W	CBX7
YER164W	CBX8
YER164W	CHD1
YER164W	CHD3
YER164W	CHD4
YER164W	CHD5
YER164W	CHD6
YER164W	CHD9
YER164W	DDX24
YER164W	DDX54
YER164W	HLTF
YER164W	SMARCA1
YER164W	SMARCA5
YER164W	SMARCAL1
YER164W	SUV39H2
YER165W	CPEB2
YER165W	CPEB3
YER165W	EIF3B
YER165W	EIF3G
YER165W	POLDIP3
YER165W	TRNAU1AP
YER166W	ATP10B
YER166W	ATP10D
YER166W	ATP11A
YER166W	ATP11C
YER166W	ATP8A1
YER166W	ATP9A
YER166W	ATP9B
YER169W	BCL6B
YER169W	GZF1
YER169W	HIC2
YER169W	HR
YER169W	IKZF4
YER169W	KDM3B
YER169W	KDM4A
YER169W	KDM4B
YER169W	KDM4C
YER169W	KDM4D
YER169W	KDM4E
YER169W	KDM5B
YER169W	KDM6B
YER169W	KLF12
YER169W	PRDM5
YER169W	RBAK
YER169W	ZBTB14
YER169W	ZNF12
YER169W	ZNF136
YER169W	ZNF157
YER169W	ZNF174
YER169W	ZNF177
YER169W	ZNF189
YER169W	ZNF205
YER169W	ZNF217
YER169W	ZNF224
YER169W	ZNF253
YER169W	ZNF254
YER169W	ZNF282
YER169W	ZNF345
YER169W	ZNF350
YER169W	ZNF382
YER169W	ZNF425
YER169W	ZNF540
YER169W	ZNF746
YER170W	AK1
YER170W	AK5
YER170W	SPEF2
YER171W	BRIP1
YER171W	RTEL1
YER172C	DDX23
YER172C	DHX35
YER172C	DHX8
YER172C	SKIV2L2
YER172C	SNRNP200
YER173W	RAD17
YER173W	RFC4
YER173W	RFC5
YER178W	PDHA1
YER179W	DMC1
YER179W	RAD51
YER179W	RAD51B
YER179W	RAD51C
YER179W	RAD51D
YER183C	MTHFS
YER183C	MTHFSD
YFL001W	PUS1
YFL001W	PUS3
YFL001W	PUSL1
YFL003C	MSH5
YFL005W	RAB10
YFL005W	RAB35
YFL005W	RALA
YFL005W	RSG1
YFL008W	SMC1B
YFL008W	SMC2
YFL008W	SMC4
YFL009W	FBXW5
YFL010C	PLEKHA5
YFL011W	SLC2A10
YFL011W	SLC2A11
YFL011W	SLC2A12
YFL011W	SLC2A5
YFL011W	SLC2A6
YFL011W	SLC2A7
YFL011W	SLC37A3
YFL016C	DNAJA2
YFL016C	DNAJA4
YFL016C	DNAJB13
YFL016C	DNAJB5
YFL016C	DNAJC21
YFL016C	DNAJC4
YFL016C	DNAJC7
YFL016C	HSCB
YFL017W-A	LSM1
YFL017W-A	LSM2
YFL017W-A	LSM3
YFL017W-A	LSM4
YFL017W-A	LSM5
YFL017W-A	LSM6
YFL017W-A	LSM7
YFL017W-A	NAA38
YFL017W-A	SNRPB
YFL017W-A	SNRPD1
YFL017W-A	SNRPD2
YFL017W-A	SNRPD3
YFL017W-A	SNRPE
YFL017W-A	SNRPF
YFL017W-A	SNRPG
YFL018C	SQRDL
YFL022C	FARS2
YFL022C	FARSA
YFL024C	EPC2
YFL027C	TBC1D4
YFL029C	AURKC
YFL029C	CSNK1E
YFL029C	MAPK6
YFL029C	NEK3
YFL029C	NEK4
YFL029C	PBK
YFL029C	PKMYT1
YFL029C	PLK4
YFL029C	STK10
YFL029C	VRK1
YFL030W	PSAT1
YFL030W	SCLY
YFL031W	ATF6
YFL031W	ATF7
YFL031W	BACH1
YFL031W	CREB5
YFL031W	DBP
YFL031W	TEF
YFL033C	MAP4K4
YFL033C	OXSR1
YFL033C	STK39
YFL034C-A	RPL22L1
YFL036W	POLRMT
YFL041W	HEPH
YFL041W	HEPHL1
YFL042C	WBP2
YFL044C	ALG13
YFL047W	ARAP2
YFL047W	ARHGAP1
YFL047W	ARHGAP11A
YFL047W	ARHGAP11B
YFL047W	ARHGAP12
YFL047W	ARHGAP15
YFL047W	ARHGAP17
YFL047W	ARHGAP18
YFL047W	ARHGAP19
YFL047W	ARHGAP20
YFL047W	ARHGAP23
YFL047W	ARHGAP24
YFL047W	ARHGAP25
YFL047W	ARHGAP28
YFL047W	ARHGAP29
YFL047W	ARHGAP30
YFL047W	ARHGAP31
YFL047W	ARHGAP32
YFL047W	ARHGAP36
YFL047W	ARHGAP39
YFL047W	ARHGAP40
YFL047W	ARHGAP42
YFL047W	ARHGAP44
YFL047W	ARHGAP8
YFL047W	ARHGAP9
YFL047W	CHN2
YFL047W	DEPDC1B
YFL047W	DEPDC7
YFL047W	FAM13A
YFL047W	FAM13B
YFL047W	GMIP
YFL047W	HMHA1
YFL047W	MYO9A
YFL047W	PRR5-ARHGAP8
YFL047W	RAPGEF5
YFL047W	SH3BP1
YFL047W	SRGAP1
YFL047W	SRGAP3
YFL047W	STARD13
YFL047W	STARD8
YFL047W	SYDE1
YFL047W	SYDE2
YFL047W	TAGAP
YFL047W	TRIP10
YFL048C	LMAN2L
YFL054C	AQP10
YFL054C	AQP6
YFL054C	AQP8
YFL055W	SLC7A1
YFL055W	SLC7A10
YFL055W	SLC7A3
YFL055W	SLC7A4
YFL056C	AKR7A2
YFL056C	AKR7A3
YFL057C	AKR7A2
YFL057C	AKR7A3
YFL066C	TDRD12
YFR010W	USP11
YFR010W	USP12
YFR010W	USP25
YFR010W	USP26
YFR010W	USP29
YFR010W	USP32
YFR010W	USP4
YFR010W	USP6
YFR014C	ADRBK2
YFR014C	AKT3
YFR014C	BMX
YFR014C	CAMKK2
YFR014C	CDC42BPB
YFR014C	CDC42BPG
YFR014C	CDK17
YFR014C	CDK18
YFR014C	CDKL1
YFR014C	CLK1
YFR014C	CLK3
YFR014C	CSNK1A1
YFR014C	CSNK1E
YFR014C	CSNK1G1
YFR014C	CSNK1G2
YFR014C	CSNK1G3
YFR014C	DAPK2
YFR014C	DYRK3
YFR014C	DYRK4
YFR014C	GRK5
YFR014C	GRK6
YFR014C	GRK7
YFR014C	GSG2
YFR014C	ICK
YFR014C	JAK1
YFR014C	KALRN
YFR014C	KSR1
YFR014C	LMTK2
YFR014C	LTK
YFR014C	MAP3K12
YFR014C	MAP3K13
YFR014C	MAP3K3
YFR014C	MAP3K6
YFR014C	MAP3K8
YFR014C	MAP4K1
YFR014C	MAP4K3
YFR014C	MAP4K4
YFR014C	MAP4K5
YFR014C	MAPK4
YFR014C	MAPK6
YFR014C	MAPKAPK5
YFR014C	MARK1
YFR014C	MAST1
YFR014C	MKNK1
YFR014C	MKNK2
YFR014C	MLK4
YFR014C	MOK
YFR014C	NEK11
YFR014C	NEK3
YFR014C	NEK4
YFR014C	NLK
YFR014C	OXSR1
YFR014C	PBK
YFR014C	PEAK1
YFR014C	PKN1
YFR014C	PKN3
YFR014C	PRKD3
YFR014C	PRKG2
YFR014C	PSKH1
YFR014C	PTK6
YFR014C	RPS6KB2
YFR014C	RPS6KC1
YFR014C	SCYL3
YFR014C	SIK2
YFR014C	SIK3
YFR014C	SNRK
YFR014C	STK10
YFR014C	STK16
YFR014C	STK17B
YFR014C	STK33
YFR014C	STK38
YFR014C	STK38L
YFR014C	TEC
YFR014C	TNK1
YFR014C	TNK2
YFR014C	TNNI3K
YFR014C	TP53RK
YFR014C	TTBK2
YFR014C	TYK2
YFR014C	VRK1
YFR014C	VRK2
YFR014C	WNK2
YFR022W	DSCR3
YFR023W	ENOX1
YFR023W	ZRSR1
YFR028C	DUPD1
YFR028C	DUSP15
YFR028C	DUSP18
YFR028C	DUSP26
YFR028C	DUSP27
YFR028C	DUSP28
YFR028C	PTPN3
YFR028C	PTPN4
YFR028C	STYXL1
YFR031C-A	MRPL2
YFR033C	UQCRH
YFR036W	CDC26
YFR037C	DMTF1
YFR037C	MYBL1
YFR037C	RCOR2
YFR037C	RCOR3
YFR037C	SMARCC2
YFR037C	SNAPC4
YFR037C	TADA2B
YFR041C	DNAJA4
YFR041C	DNAJC21
YFR041C	DNAJC4
YFR041C	DNAJC7
YFR041C	HSCB
YFR045W	MTCH2
YFR045W	SLC25A14
YFR045W	SLC25A19
YFR045W	SLC25A22
YFR045W	SLC25A23
YFR045W	SLC25A24
YFR045W	SLC25A25
YFR045W	SLC25A26
YFR045W	SLC25A3
YFR045W	SLC25A30
YFR045W	SLC25A31
YFR045W	SLC25A33
YFR045W	SLC25A34
YFR045W	SLC25A35
YFR045W	SLC25A36
YFR045W	SLC25A37
YFR045W	SLC25A39
YFR045W	SLC25A40
YFR045W	SLC25A41
YFR045W	SLC25A43
YFR045W	SLC25A44
YFR045W	SLC25A45
YFR045W	SLC25A46
YFR045W	SLC25A47
YFR045W	SLC25A48
YFR045W	SLC25A51
YFR045W	SLC25A52
YFR045W	SLC25A53
YFR051C	AP5M1
YFR051C	ARCN1
YFR051C	COPZ1
YFR053C	HK1
YFR053C	HK2
YFR053C	HK3
YFR053C	HKDC1
YGL001C	HSD3B1
YGL001C	HSD3B2
YGL001C	HSD3B7
YGL001C	SDR42E1
YGL001C	SDR42E2
YGL002W	TMED6
YGL004C	EIF3I
YGL004C	FBXW2
YGL004C	FBXW5
YGL004C	PPWD1
YGL012W	LBR
YGL012W	TM7SF2
YGL017W	ATE1
YGL021W	GSG2
YGL022W	STT3A
YGL023C	FYCO1
YGL027C	MOGS
YGL030W	SECISBP2
YGL033W	PSMC3IP
YGL038C	A4GNT
YGL040C	ALAD
YGL043W	IWS1
YGL043W	POLR2I
YGL043W	SPOCD1
YGL043W	TCEA2
YGL043W	TCEA3
YGL043W	TCEANC
YGL043W	TCEANC2
YGL043W	TCEB3
YGL043W	TCEB3B
YGL043W	TCEB3C
YGL043W	TCEB3CL
YGL043W	TCEB3CL2
YGL043W	ZNRD1
YGL044C	A1CF
YGL044C	CELF2
YGL044C	CELF5
YGL044C	CELF6
YGL044C	CPSF6
YGL044C	CPSF7
YGL044C	CSTF2
YGL044C	CSTF2T
YGL044C	ELAVL4
YGL044C	ESRP1
YGL044C	HNRNPA2B1
YGL044C	HNRNPA3
YGL044C	HNRNPC
YGL044C	HNRNPD
YGL044C	HNRNPF
YGL044C	HNRNPH1
YGL044C	HNRNPH2
YGL044C	HNRNPH3
YGL044C	HNRNPL
YGL044C	HNRNPM
YGL044C	HNRNPR
YGL044C	LARP7
YGL044C	NONO
YGL044C	PABPC3
YGL044C	PTBP1
YGL044C	PTBP2
YGL044C	PUF60
YGL044C	RALY
YGL044C	RBFOX1
YGL044C	RBFOX3
YGL044C	RBM15B
YGL044C	RBM23
YGL044C	RBM25
YGL044C	RBM26
YGL044C	RBM28
YGL044C	RBM39
YGL044C	RBMS1
YGL044C	RBMS2
YGL044C	RBMXL1
YGL044C	RBMY1A1
YGL044C	RBMY1D
YGL044C	RBMY1E
YGL044C	RBMY1F
YGL044C	RBPMS
YGL044C	RNPC3
YGL044C	RNPS1
YGL044C	SART3
YGL044C	SCAF8
YGL044C	SF3B14
YGL044C	SF3B4
YGL044C	SFPQ
YGL044C	SNRNP35
YGL044C	SNRNP70
YGL044C	SNRPA
YGL044C	SNRPB2
YGL044C	SREK1
YGL044C	SRSF11
YGL044C	SRSF2
YGL044C	SRSF3
YGL044C	SRSF4
YGL044C	SRSF5
YGL044C	SRSF7
YGL044C	SRSF9
YGL044C	SSB
YGL044C	TARDBP
YGL044C	TRA2A
YGL044C	TRA2B
YGL044C	TUT1
YGL044C	U2AF1
YGL044C	U2AF1L4
YGL044C	U2AF2
YGL044C	U2SURP
YGL044C	ZCRB1
YGL044C	ZRSR2
YGL047W	ALG13
YGL048C	CLPX
YGL050W	TYW3
YGL055W	DEGS1
YGL055W	FADS2
YGL055W	FADS3
YGL055W	SCD
YGL055W	SCD5
YGL058W	CDC34
YGL058W	UBE2A
YGL058W	UBE2B
YGL058W	UBE2D2
YGL058W	UBE2D3
YGL058W	UBE2L3
YGL058W	UBE2T
YGL058W	UBE2W
YGL063W	PUS1
YGL063W	PUS3
YGL063W	PUSL1
YGL065C	ALG1
YGL065C	ALG11
YGL067W	NUDT12
YGL070C	POLR2I
YGL070C	TCEA1
YGL073W	HSF2
YGL082W	FAM63A
YGL082W	FAM63B
YGL083W	EPHA10
YGL083W	EPHA6
YGL083W	LMTK3
YGL087C	CDC34
YGL087C	UBE2D2
YGL087C	UBE2T
YGL087C	UBE2W
YGL094C	PAN2
YGL094C	TREX2
YGL096W	PKNOX2
YGL103W	MRPL15
YGL112C	TAF6L
YGL116W	BUB3
YGL116W	EML4
YGL120C	DDX47
YGL120C	DDX51
YGL120C	DDX56
YGL120C	SKIV2L2
YGL123W	MRPS5
YGL125W	MTHFR
YGL133W	BAZ1A
YGL133W	BAZ2A
YGL135W	MRPL1
YGL135W	RSL1D1
YGL136C	FTSJ1
YGL136C	FTSJ2
YGL136C	FTSJ3
YGL137W	COPA
YGL137W	COPB2
YGL141W	HECTD2
YGL141W	HECTD4
YGL141W	HECW1
YGL141W	HECW2
YGL141W	HERC3
YGL141W	HERC6
YGL141W	HUWE1
YGL141W	UBE3B
YGL141W	UBE3C
YGL142C	ALG9
YGL142C	PIGB
YGL142C	PIGZ
YGL143C	MTRF1
YGL150C	ASCC3
YGL150C	ATRX
YGL150C	CHD1
YGL150C	CHD1L
YGL150C	CHD3
YGL150C	CHD4
YGL150C	CHD5
YGL150C	CHD6
YGL150C	CHD9
YGL150C	DDX24
YGL150C	DDX54
YGL150C	DDX6
YGL150C	FANCM
YGL150C	HLTF
YGL150C	POLQ
YGL150C	RAD54B
YGL150C	RECQL
YGL150C	RECQL4
YGL150C	RECQL5
YGL150C	SHPRH
YGL150C	SMARCA1
YGL150C	SMARCA5
YGL150C	SMARCAD1
YGL150C	SMARCAL1
YGL150C	SRCAP
YGL150C	ZRANB3
YGL156W	MAN2A2
YGL158W	ARAF
YGL158W	CDK17
YGL158W	CLK1
YGL158W	CLK3
YGL158W	CLK4
YGL158W	DYRK4
YGL158W	MAP3K12
YGL158W	MLK4
YGL158W	MOS
YGL158W	NEK4
YGL158W	NEK7
YGL158W	PBK
YGL158W	PIM3
YGL158W	PSKH1
YGL158W	PTK6
YGL158W	SIK3
YGL158W	STK10
YGL158W	STK16
YGL158W	STK33
YGL158W	TNNI3K
YGL158W	VRK1
YGL158W	WNK2
YGL161C	YIPF5
YGL163C	CHD1L
YGL163C	FANCM
YGL163C	POLQ
YGL163C	RAD54B
YGL163C	RAD54L
YGL163C	RECQL
YGL163C	RECQL4
YGL163C	RECQL5
YGL163C	SHPRH
YGL163C	SMARCA1
YGL163C	SMARCA5
YGL163C	SMARCAD1
YGL163C	SMARCAL1
YGL174W	BUD13
YGL179C	ARAF
YGL179C	CDK17
YGL179C	CDK18
YGL179C	CDKL3
YGL179C	CLK1
YGL179C	CLK3
YGL179C	CLK4
YGL179C	DYRK1B
YGL179C	DYRK4
YGL179C	MAP3K12
YGL179C	MLK4
YGL179C	MOK
YGL179C	PBK
YGL179C	PHKG2
YGL179C	PKN3
YGL179C	PSKH1
YGL179C	PTK6
YGL179C	SCYL3
YGL179C	SIK3
YGL179C	STK10
YGL179C	STK16
YGL179C	STK33
YGL179C	TNNI3K
YGL179C	TP53RK
YGL183C	MND1
YGL191W	COX6A1
YGL191W	COX6A2
YGL194C	HDAC10
YGL194C	HDAC11
YGL194C	HDAC8
YGL195W	GCN1L1
YGL196W	PROSC
YGL198W	YIPF5
YGL201C	MCMDC2
YGL202W	GCAT
YGL202W	GOT1L1
YGL203C	CPVL
YGL205W	ACAD11
YGL205W	ACADSB
YGL205W	ACOX1
YGL205W	ACOX2
YGL205W	ACOX3
YGL205W	ACOXL
YGL205W	GCDH
YGL206C	VPS11
YGL206C	VPS18
YGL206C	VPS41
YGL207W	SSRP1
YGL210W	RAB2B
YGL210W	RAB39B
YGL210W	SAR1A
YGL212W	BET1
YGL212W	SNAP23
YGL212W	STX5
YGL212W	STX6
YGL212W	STX8
YGL216W	KIF24
YGL220W	BOLA3
YGL225W	SLC35A1
YGL225W	SLC35A2
YGL225W	SLC35A3
YGL225W	SLC35C1
YGL234W	GART
YGL234W	PFAS
YGL238W	IPO11
YGL238W	IPO13
YGL238W	IPO4
YGL238W	IPO5
YGL238W	IPO9
YGL238W	RANBP17
YGL238W	TNPO2
YGL238W	XPO6
YGL238W	XPO7
YGL238W	XPOT
YGL240W	ANAPC10
YGL241W	IPO11
YGL241W	IPO13
YGL241W	IPO4
YGL241W	IPO5
YGL241W	IPO9
YGL241W	RANBP17
YGL241W	TNPO2
YGL241W	XPO6
YGL241W	XPO7
YGL241W	XPOT
YGL242C	ANKRA2
YGL242C	ANKRD30B
YGL242C	ANKRD39
YGL242C	ANKRD40
YGL242C	ANKRD45
YGL242C	CASKIN2
YGL243W	ADAD2
YGL243W	ADARB2
YGL243W	ADAT1
YGL245W	EARS2
YGL245W	EPRS
YGL245W	QARS
YGL251C	RAD54B
YGL253W	HK1
YGL253W	HK2
YGL253W	HK3
YGL254W	IKZF2
YGL254W	KLF12
YGL254W	ZBTB38
YGL254W	ZNF398
YGL254W	ZNF711
YGR003W	CUL9
YGR006W	PRPF18
YGR007W	PCYT2
YGR010W	NMNAT1
YGR010W	NMNAT2
YGR010W	NMNAT3
YGR012W	SDSL
YGR012W	THNSL1
YGR015C	ABHD1
YGR015C	ABHD11
YGR015C	ABHD2
YGR015C	ABHD3
YGR015C	EPHX3
YGR015C	SERHL2
YGR024C	THG1L
YGR030C	POP7
YGR030C	RPP25
YGR031W	ABHD1
YGR031W	ABHD11
YGR031W	ABHD2
YGR031W	ABHD3
YGR031W	EPHX3
YGR031W	SERHL2
YGR034W	MRPL24
YGR034W	RPS4Y2
YGR036C	DOLPP1
YGR046W	TAMM41
YGR052W	EPHA10
YGR052W	EPHA6
