Q0045		MT-CO1
YDR373W		KCNIP2
YDR373W		KCNIP3
YDR373W		KCNIP4
YDR373W		NCS1
YDR374C		YTHDF1
YDR374C		YTHDF2
YDR375C		BCS1L
YDR376W		FDXR
YDR379W		ARHGAP30
YDR379W		ARHGAP31
YDR379W		ARHGAP32
YDR379W		ARHGAP33
YDR379W		RALBP1
YDR382W		RPLP2
YDR385W		EFTUD2
YDR386W		MUS81
YDR387C		SLC2A10
YDR387C		SLC2A12
YDR387C		SLC2A13
YDR390C		UBA2
YDR392W		SUPT3H
YDR394W		PSMC4
YDR395W		IPO7
YDR395W		IPO8
YDR397C		DR1
YDR398W		WDR43
YDR404C		POLR2G
YDR409W		PIAS1
YDR409W		PIAS2
YDR409W		PIAS3
YDR409W		PIAS4
YDR409W		ZMIZ1
YDR409W		ZMIZ2
YDR410C		ICMT
YDR411C		DERL1
YDR411C		DERL2
YDR411C		DERL3
YDR412W		NOL12
YDR416W		XAB2
YDR418W		RPL12
YDR424C		DNAL4
YDR424C		DYNLL1
YDR424C		DYNLL2
YDR427W		PSMD13
YDR429C		EIF3G
YDR430C		PITRM1
YDR432W		DMKN
YDR432W		LOR
YDR434W		PIGS
YDR438W		SLC35F5
YDR440W		DOT1L
YDR441C		APRT
YDR447C		RPS17
YDR447C		RPS17L
YDR448W		TADA2A
YDR448W		TADA2B
YDR449C		UTP6
YDR450W		RPS18
YDR452W		SMPD1
YDR452W		SMPDL3A
YDR452W		SMPDL3B
YDR453C		PRDX1
YDR453C		PRDX2
YDR453C		PRDX3
YDR453C		PRDX4
YDR454C		GUK1
YDR456W		SLC9A3
YDR456W		SLC9A5
YDR456W		SLC9A6
YDR456W		SLC9A7
YDR456W		SLC9A8
YDR456W		SLC9A9
YDR457W		HUWE1
YDR457W		UBR5
YDR460W		MNAT1
YDR471W		RPL27
YDR472W		TRAPPC5
YDR473C		PRPF3
YDR477W		MELK
YDR477W		NIM1
YDR477W		PRKAA1
YDR477W		PRKAA2
YDR477W		SNRK
YDR481C		ALPI
YDR481C		ALPL
YDR481C		ALPP
YDR481C		ALPPL2
YDR484W		VPS52
YDR486C		CHMP5
YDR489W		GINS4
YDR490C		PDPK1
YDR492W		ADIPOR1
YDR492W		ADIPOR2
YDR492W		PAQR3
YDR492W		PAQR4
YDR496C		KIAA0020
YDR497C		SLC2A10
YDR497C		SLC2A12
YDR497C		SLC2A13
YDR500C		RPL37
YDR502C		MAT1A
YDR502C		MAT2A
YDR507C		BRSK1
YDR507C		BRSK2
YDR507C		HUNK
YDR507C		STK40
YDR507C		TRIB1
YDR507C		TRIB2
YDR507C		TRIB3
YDR510W		RP1-241P17.4
YDR510W		SUMO1
YDR510W		SUMO2
YDR510W		SUMO3
YDR510W		SUMO4
YDR511W		ACN9
YDR513W		GLRX
YDR513W		GLRX2
YDR516C		GCK
YDR516C		HK1
YDR516C		HK2
YDR516C		HK3
YDR516C		HKDC1
YDR517W		GORASP1
YDR517W		GORASP2
YDR518W		DNAJC10
YDR518W		PDIA3
YDR518W		PDIA4
YDR518W		TXNDC5
YDR519W		FKBP10
YDR519W		FKBP11
YDR519W		FKBP14
YDR519W		FKBP2
YDR519W		FKBP7
YDR519W		FKBP9
YDR523C		OXSR1
YDR523C		STK39
YDR523C		STRADA
YDR523C		STRADB
YDR524C		ACAP1
YDR524C		ACAP2
YDR524C		ACAP3
YDR524C		ASAP1
YDR524C		ASAP2
YDR524C		ASAP3
YDR527W		RPAP1
YDR529C		UQCRB
YDR531W		PANK1
YDR531W		PANK2
YDR531W		PANK3
YDR531W		PANK4
YEL002C		DDOST
YEL003W		PFDN2
YEL004W		SLC35B4
YEL006W		SLC25A17
YEL006W		SLC25A32
YEL011W		GBE1
YEL012W		UBE2H
YEL013W		ARMC3
YEL013W		ARMC4
YEL013W		CTNNB1
YEL013W		JUP
YEL016C		ENPP1
YEL016C		ENPP2
YEL016C		ENPP3
YEL016C		ENPP6
YEL020C		HACL1
YEL020C		ILVBL
YEL020W-A		TIMM9
YEL021W		UMPS
YEL022W		GBF1
YEL024W		UQCRFS1
YEL026W		NHP2L1
YEL027W		ATP6V0C
YEL029C		PDXK
YEL030W		HSPA9
YEL031W		ATP13A1
YEL032W		MCM3
YEL034W		EIF5A
YEL034W		EIF5A2
YEL034W		EIF5AL1
YEL037C		RAD23A
YEL037C		RAD23B
YEL038W		ENOPH1
YEL039C		AC012493.2
YEL039C		CYCS
YEL041W		NADK
YEL042W		ENTPD5
YEL042W		ENTPD6
YEL050C		MRPL2
YEL051W		ATP6V1D
YEL052W		LACE1
YEL053C		NAA35
YEL054C		RPL12
YEL055C		MYBBP1A
YEL056W		RBBP4
YEL056W		RBBP7
YEL056W		TSSC1
YEL058W		PGM3
YEL060C		PCSK9
YEL061C		KIF11
YEL061C		KIF21A
YEL061C		KIF21B
YEL061C		KIF27
YEL061C		KIF4A
YEL061C		KIF4B
YEL061C		KIF7
YEL062W		NPRL2
YEL064C		SLC38A10
YEL064C		SLC38A11
YEL064C		SLC38A6
YEL064C		SLC38A7
YEL064C		SLC38A8
YEL069C		SLC2A6
YEL069C		SLC2A8
YEL071W		D2HGDH
YER003C		MPI
YER004W		HTATIP2
YER005W		ENTPD1
YER005W		ENTPD2
YER005W		ENTPD3
YER005W		ENTPD4
YER005W		ENTPD7
YER005W		ENTPD8
YER006W		GNL3
YER006W		GNL3L
YER007C-A		MCTS1
YER007W		TBCE
YER007W		TBCEL
YER008C		INCENP
YER008C		MAP7
YER008C		MAP7D1
YER008C		MAP7D2
YER008C		MAP7D3
YER009W		NUTF2
YER012W		PSMB2
YER013W		DHX16
YER013W		DHX33
YER013W		DHX35
YER013W		DHX8
YER014W		PPOX
YER015W		ACSBG1
YER015W		ACSBG2
YER015W		ACSL1
YER015W		ACSL5
YER015W		ACSL6
YER016W		MAPRE1
YER016W		MAPRE2
YER016W		MAPRE3
YER017C		AFG3L2
YER017C		SPG7
YER019W		SMPD2
YER020W		GNAL
YER020W		GNAS
YER021W		PSMD3
YER023W		PYCR1
YER023W		PYCR2
YER023W		PYCRL
YER023W		RP4-559A3.7
YER025W		EIF2S3
YER025W		EIF2S3L
YER027C		PRKAB1
YER027C		PRKAB2
YER029C		SNRPB
YER029C		SNRPN
YER031C		RAB11A
YER031C		RAB11B
YER031C		RAB25
YER031C		RAB39A
YER031C		RAB39B
YER031C		RAB42
YER036C		ABCF2
YER040W		GATA1
YER040W		GATA2
YER040W		GATA3
YER040W		GATA4
YER040W		GATA5
YER040W		GATA6
YER042W		MSRA
YER043C		AHCY
YER043C		AHCYL1
YER043C		AHCYL2
YER044C		C14ORF1
YER047C		FIGN
YER047C		FIGNL1
YER047C		IQCA1
YER047C		SPAST
YER048C		DNAJC30
YER048W-A		LYRM4
YER049W		OGFOD1
YER051W		FBXL19
YER051W		JHDM1D
YER051W		KDM2A
YER051W		KDM2B
YER051W		PHF2
YER051W		PHF8
YER053C		SLC25A3
YER056C-A		RPL34
YER057C		HRSP12
YER061C		FASN
YER061C		OXSM
YER068W		CNOT4
YER069W		NAGS
YER070W		RRM1
YER073W		ALDH1A1
YER073W		ALDH1A2
YER073W		ALDH1A3
YER073W		ALDH1B1
YER073W		ALDH1L1
YER073W		ALDH1L2
YER073W		ALDH2
YER073W		RP11-162P23.2
YER074W		RPS24
YER074W-A		IER3IP1
YER078C		XPNPEP3
YER081W		AC011841.1
YER081W		CTBP1
YER081W		CTBP2
YER081W		PHGDH
YER082C		WDR46
YER087W		PARS2
YER089C		PPM1A
YER089C		PPM1B
YER089C		PPM1D
YER089C		PPM1G
YER089C		PPM1N
YER093C		RICTOR
YER094C		PSMB3
YER095W		RAD51
YER095W		RAD51B
YER095W		RAD51C
YER095W		RAD51D
YER095W		XRCC3
YER098W		USP1
YER098W		USP12
YER098W		USP35
YER098W		USP38
YER098W		USP46
YER099C		PRPS1
YER099C		PRPS1L1
YER099C		PRPS2
YER099C		PRPSAP1
YER099C		PRPSAP2
YER100W		UBE2J1
YER100W		UBE2J2
YER102W		RPS8
YER105C		NUP155
YER107C		BUB3
YER107C		RAE1
YER110C		IPO4
YER112W		LSM4
YER117W		RPL23
YER120W		VAPA
YER120W		VAPB
YER122C		ARFGAP2
YER122C		ARFGAP3
YER125W		ITCH
YER125W		NEDD4
YER125W		NEDD4L
YER125W		WWP1
YER125W		WWP2
YER126C		NSA2
YER129W		CAMKK1
YER129W		CAMKK2
YER129W		STK11
YER130C		EGR1
YER130C		EGR2
YER130C		EGR3
YER130C		EGR4
YER130C		WT1
YER131W		RPS26
YER133W		PPP1CA
YER133W		PPP1CB
YER133W		PPP1CC
YER134C		MDP1
YER134C		NEDD8-MDP1
YER136W		CHM
YER136W		CHML
YER136W		GDI1
YER136W		GDI2
YER140W		TAPT1
YER141W		COX15
YER143W		DDI1
YER143W		DDI2
YER144C		USP17L10
YER144C		USP17L11
YER144C		USP17L12
YER144C		USP17L13
YER144C		USP17L15
YER144C		USP17L17
YER144C		USP17L18
YER144C		USP17L19
YER144C		USP17L2
YER144C		USP17L20
YER144C		USP17L21
YER144C		USP17L22
YER144C		USP17L23
YER144C		USP17L24
YER144C		USP17L25
YER144C		USP17L26
YER144C		USP17L27
YER144C		USP17L28
YER144C		USP17L29
YER144C		USP17L30
YER144C		USP17L5
YER144C		USP36
YER144C		USP42
YER144C		USP50
YER144C		USP8
YER146W		LSM5
YER148W		TBP
YER148W		TBPL1
YER148W		TBPL2
YER151C		USP10
YER154W		COX18
YER154W		OXA1L
YER155C		ARHGAP29
YER155C		CHN1
YER155C		CHN2
YER155C		GMIP
YER155C		HMHA1
YER156C		C12ORF10
YER157W		COG3
YER159C		DRAP1
YER162C		XPC
YER163C		CHAC1
YER163C		CHAC2
YER164W		CHD1
YER164W		CHD2
YER164W		CHD3
YER164W		CHD4
YER164W		CHD5
YER165W		PABPC1
YER165W		PABPC1L
YER165W		PABPC1L2A
YER165W		PABPC1L2B
YER165W		PABPC3
YER165W		PABPC4
YER165W		PABPC4L
YER165W		PABPC5
YER166W		ATP10A
YER166W		ATP10B
YER166W		ATP10D
YER168C		TRNT1
YER169W		KDM4A
YER169W		KDM4B
YER169W		KDM4C
YER169W		KDM4D
YER169W		KDM4E
YER170W		AK3
YER170W		AK4
YER171W		ERCC2
YER172C		ASCC3
YER173W		RAD17
YER174C		GLRX3
YER176W		AQR
YER176W		ZNFX1
YER177W		SFN
YER177W		YWHAE
YER177W		YWHAQ
YER178W		BCKDHA
YER178W		CTC-435M10.3
YER178W		PDHA1
YER178W		PDHA2
YER179W		DMC1
YER183C		MTHFS
YER183C		ST20-MTHFS
YFL001W		PUS3
YFL002C		DDX55
YFL003C		MSH4
YFL005W		RAB10
YFL005W		RAB13
YFL005W		RAB26
YFL005W		RAB37
YFL005W		RAB8A
YFL005W		RAB8B
YFL007W		PSME4
YFL008W		SMC1A
YFL008W		SMC1B
YFL011W		SLC2A6
YFL011W		SLC2A8
YFL016C		DNAJA3
YFL016C		DNAJB9
YFL016C		DNAJC16
YFL017C		GNPNAT1
YFL017W-A		SNRPG
YFL018C		DLD
YFL021W		GATA1
YFL021W		GATA2
YFL021W		GATA3
YFL021W		GATA4
YFL021W		GATA5
YFL021W		GATA6
YFL022C		FARSA
YFL024C		EPC1
YFL024C		EPC2
YFL025C		PGAP1
YFL027C		TBC1D20
YFL030W		AGXT
YFL033C		MAST1
YFL033C		MAST2
YFL033C		MAST3
YFL033C		MAST4
YFL034C-A		RPL22
YFL034C-A		RPL22L1
YFL034W		TMCO4
YFL036W		POLRMT
YFL037W		RP11-683L23.1
YFL037W		TUBB1
YFL037W		TUBB3
YFL037W		TUBB6
YFL037W		TUBB8
YFL037W		TUBE1
YFL038C		RAB12
YFL038C		RAB1A
YFL038C		RAB1B
YFL038C		RAB35
YFL038C		RAB40A
YFL038C		RAB40AL
YFL038C		RAB40B
YFL038C		RAB40C
YFL039C		ACTB
YFL039C		ACTBL2
YFL039C		POTEE
YFL039C		POTEF
YFL039C		POTEI
YFL042C		GRAMD1A
YFL042C		GRAMD1B
YFL042C		GRAMD1C
YFL042C		GRAMD2
YFL042C		GRAMD3
YFL044C		YOD1
YFL045C		PMM1
YFL045C		PMM2
YFL046W		CCDC90A
YFL046W		CCDC90B
YFL053W		DAK
YFL054C		AQP10
YFL054C		AQP3
YFL054C		AQP7
YFL054C		AQP9
YFR002W		NUP93
YFR004W		EIF3H
YFR004W		PSMD14
YFR005C		USP39
YFR006W		PEPD
YFR009W		ABCF1
YFR009W		ABCF3
YFR010W		USP14
YFR014C		CAMK2A
YFR014C		CAMK2B
YFR014C		CAMK2D
YFR014C		CAMK2G
YFR014C		CAMK4
YFR014C		DCLK3
YFR015C		GYS1
YFR015C		GYS2
YFR016C		AKAP12
YFR016C		MAP1A
YFR016C		MAP1B
YFR016C		MAP1S
YFR018C		QPCT
YFR018C		QPCTL
YFR019W		PIKFYVE
YFR019W		ZFYVE21
YFR019W		ZFYVE28
YFR021W		WDR45
YFR021W		WDR45L
YFR021W		WIPI1
YFR021W		WIPI2
YFR024C-A		SH3YL1
YFR027W		ESCO1
YFR027W		ESCO2
YFR028C		CDC14A
YFR028C		CDC14B
YFR028C		DUSP23
YFR031C		SMC2
YFR031C-A		RPL8
YFR032C-A		RPL29
YFR038W		HELLS
YFR040W		PPP6R1
YFR040W		PPP6R2
YFR040W		PPP6R3
YFR044C		CNDP1
YFR044C		CNDP2
YFR047C		QPRT
YFR050C		PSMB4
YFR051C		ARCN1
YFR052W		PSMD8
YFR053C		GCK
YFR053C		HK1
YFR053C		HK2
YFR053C		HK3
YFR053C		HKDC1
YGL001C		HSD3B1
YGL001C		HSD3B2
YGL001C		HSD3B7
YGL001C		NSDHL
YGL001C		SDR42E1
YGL001C		SDR42E2
YGL002W		TMED4
YGL002W		TMED9
YGL003C		FZR1
YGL004C		PAAF1
YGL006W		ATP2B1
YGL006W		ATP2B2
YGL006W		ATP2B3
YGL006W		ATP2B4
YGL011C		PSMA6
YGL014W		PUM1
YGL014W		PUM2
YGL017W		ATE1
YGL018C		HSCB
YGL022W		STT3A
YGL022W		STT3B
YGL027C		MOGS
YGL029W		CCDC86
YGL030W		RPL30
YGL031C		RPL24
YGL040C		ALAD
YGL043W		TCEA1
YGL043W		TCEA2
YGL043W		TCEA3
YGL043W		TCEANC
YGL044C		CSTF2
YGL044C		CSTF2T
YGL044C		RBM8A
YGL048C		PSMC5
YGL049C		EIF4G1
YGL049C		EIF4G2
YGL049C		EIF4G3
YGL050W		TYW3
YGL054C		CNIH
YGL054C		CNIH2
YGL054C		CNIH3
YGL054C		CNIH4
YGL055W		SCD
YGL055W		SCD5
YGL058W		UBE2A
YGL058W		UBE2B
YGL058W		UBE2O
YGL058W		UBE2S
YGL058W		UBE2Z
YGL063W		PUS1
YGL065C		ALG2
YGL067W		NUDT12
YGL067W		NUDT13
YGL068W		MRPL12
YGL070C		POLR2I
YGL073W		HSF1
YGL073W		HSF2
YGL073W		HSF4
YGL076C		RPL7
YGL076C		RPL7L1
YGL078C		DDX21
YGL078C		DDX50
YGL080W		MPC1
YGL082W		FAM63A
YGL082W		FAM63B
YGL083W		SCYL2
YGL084C		HHAT
YGL084C		HHATL
YGL087C		TMEM189
YGL087C		TMEM189-UBE2V1
YGL087C		UBE2V1
YGL087C		UBE2V2
YGL091C		NUBP1
YGL091C		NUBPL
YGL092W		NUP98
YGL094C		PAN2
YGL095C		VPS45
YGL096W		TGIF1
YGL096W		TGIF2
YGL096W		TGIF2LX
YGL096W		TGIF2LY
YGL097W		IBTK
YGL097W		RCC1
YGL097W		RCC2
YGL097W		RPGR
YGL097W		SERGEF
YGL099W		GNL1
YGL099W		LSG1
YGL100W		SEH1L
YGL101W		HDDC2
YGL103W		RPL27A
YGL104C		SLC2A1
YGL104C		SLC2A14
YGL104C		SLC2A2
YGL104C		SLC2A3
YGL104C		SLC2A4
YGL106W		MYL1
YGL106W		MYL3
YGL106W		MYL4
YGL106W		MYL6
YGL106W		MYL6B
YGL111W		WDR74
YGL112C		TAF6
YGL112C		TAF6L
YGL115W		PRKAG1
YGL115W		PRKAG2
YGL115W		PRKAG3
YGL116W		CDC20
YGL116W		CDC20B
YGL119W		ADCK3
YGL119W		ADCK4
YGL120C		DHX15
YGL120C		DHX32
YGL120C		DQX1
YGL123W		RPS2
YGL124C		MON1A
YGL124C		MON1B
YGL125W		MTHFR
YGL127C		MED31
YGL135W		RPL10A
YGL137W		COPB2
YGL141W		UBE3B
YGL141W		UBE3C
YGL142C		PIGB
YGL143C		MTRF1
YGL143C		MTRF1L
YGL147C		RPL9
YGL150C		INO80
YGL153W		PEX14
YGL156W		MAN2C1
YGL158W		MAPKAPK2
YGL158W		MAPKAPK3
YGL158W		MAPKAPK5
YGL158W		MKNK1
YGL158W		MKNK2
YGL163C		ATRX
YGL163C		RAD54B
YGL163C		RAD54L
YGL163C		RAD54L2
YGL167C		ATP2A1
YGL167C		ATP2A2
YGL167C		ATP2A3
YGL167C		ATP2C1
YGL167C		ATP2C2
YGL169W		YRDC
YGL171W		DDX52
YGL172W		NUP214
YGL172W		POM121
YGL172W		POM121C
YGL172W		POM121L2
YGL172W		PROSER1
YGL173C		XRN1
YGL178W		PUM1
YGL178W		PUM2
YGL179C		CAMKK1
YGL179C		CAMKK2
YGL179C		STK11
YGL180W		ULK3
YGL183C		MND1
YGL187C		COX5B
YGL189C		RPS26
YGL190C		PPP2R2A
YGL190C		PPP2R2B
YGL190C		PPP2R2C
YGL190C		PPP2R2D
YGL191W		COX6A1
YGL191W		COX6A1P2
YGL191W		COX6A2
YGL192W		METTL3
YGL194C		HDAC11
YGL195W		GCN1L1
YGL200C		TICAM2
YGL200C		TMED1
YGL200C		TMED2
YGL200C		TMED3
YGL200C		TMED5
YGL200C		TMED7
YGL200C		TMED7-TICAM2
YGL201C		MCM6
YGL202W		AADAT
YGL203C		SCPEP1
YGL205W		ACOX1
YGL205W		ACOX2
YGL205W		ACOX3
YGL205W		ACOXL
YGL206C		CLTC
YGL206C		CLTCL1
YGL207W		SUPT16H
YGL208W		PRKAB1
YGL208W		PRKAB2
YGL210W		RAB11A
YGL210W		RAB11B
YGL210W		RAB25
YGL210W		RAB39A
YGL210W		RAB39B
YGL210W		RAB42
YGL211W		CTU1
YGL216W		KIF12
YGL216W		KIF18A
YGL216W		KIF18B
YGL216W		KIF19
YGL216W		KIF22
YGL220W		BOLA2
YGL220W		BOLA2B
YGL221C		NIF3L1
YGL227W		RANBP10
YGL227W		RANBP9
YGL227W		SPRYD3
YGL229C		PPP6R1
YGL229C		PPP6R2
YGL229C		PPP6R3
YGL231C		EMC4
YGL232W		THUMPD1
YGL233W		EXOC6
YGL233W		EXOC6B
YGL234W		GART
YGL236C		MTO1
YGL237C		NFYA
YGL238W		CSE1L
YGL240W		ANAPC10
YGL241W		IPO9
YGL244W		RTF1
YGL246C		DOM3Z
YGL251C		HFM1
YGL253W		GCK
YGL253W		HK1
YGL253W		HK2
YGL253W		HK3
YGL253W		HKDC1
YGL254W		CTD-2192J16.20
YGL256W		ADHFE1
YGR001C		N6AMT2
YGR002C		DMAP1
YGR005C		GTF2F2
YGR006W		PRPF18
YGR006W		RP11-295P9.3
YGR007W		PCYT2
YGR010W		NMNAT1
YGR010W		NMNAT2
YGR010W		NMNAT3
YGR019W		ABAT
YGR020C		ATP6V1F
YGR021W		TACO1
YGR023W		AL359195.1
YGR024C		THG1L
YGR027C		RPS25
YGR028W		ATAD1
YGR029W		GFER
YGR031W		ABHD11
YGR034W		RPL26
YGR034W		RPL26L1
YGR036C		DOLPP1
YGR037C		ACBD4
YGR037C		ACBD5
YGR037C		ACBD7
YGR037C		DBI
YGR038W		ORMDL1
YGR038W		ORMDL2
YGR038W		ORMDL3
YGR040W		MAPK1
YGR040W		MAPK15
YGR040W		MAPK3
YGR040W		MAPK4
YGR040W		MAPK6
YGR040W		MAPK7
YGR040W		NLK
YGR043C		TALDO1
YGR046W		TAMM41
YGR047C		GTF3C3
YGR048W		UFD1L
YGR054W		EIF2A
YGR054W		WIBG
YGR055W		SLC7A14
YGR055W		SLC7A3
YGR055W		SLC7A4
YGR056W		PBRM1
YGR058W		CAPNS1
YGR058W		CAPNS2
YGR058W		GCA
YGR058W		PDCD6
YGR058W		PEF1
YGR058W		SRI
YGR060W		C5ORF4
YGR060W		CH25H
YGR060W		MSMO1
YGR061C		PFAS
YGR063C		SUPT4H1
YGR066C		GID4
YGR070W		ARHGEF1
YGR070W		ARHGEF11
YGR070W		ARHGEF12
YGR070W		ARHGEF3
YGR070W		NET1
YGR074W		SNRPD1
YGR078C		VBP1
YGR080W		TWF1
YGR080W		TWF2
YGR083C		EIF2B4
YGR085C		RPL11
YGR090W		NOL6
YGR091W		PRPF31
YGR092W		MASTL
YGR093W		CWF19L1
YGR093W		CWF19L2
YGR094W		VARS
YGR094W		VARS2
YGR095C		EXOSC5
YGR096W		SLC25A19
YGR098C		ESPL1
YGR100W		RP1-130H16.18
YGR100W		TBC1D10A
YGR100W		TBC1D10B
YGR100W		TBC1D10C
YGR100W		TBC1D8
YGR100W		TBC1D8B
YGR100W		TBC1D9
YGR100W		TBC1D9B
YGR101W		PARL
YGR103W		PES1
YGR108W		CCNA1
YGR108W		CCNA2
YGR108W		CCNB1
YGR108W		CCNB2
YGR108W		CCNB3
YGR108W		CCNF
YGR109C		CCNA1
YGR109C		CCNA2
YGR109C		CCNB1
YGR109C		CCNB2
YGR109C		CCNB3
YGR109C		CCNF
YGR109W-A		GIN1
YGR110W		ABHD4
YGR110W		ABHD5
YGR112W		SURF1
YGR116W		SUPT6H
YGR118W		RPS23
YGR119C		NUP214
YGR119C		POM121
YGR119C		POM121C
YGR119C		POM121L2
YGR119C		PROSER1
YGR123C		PPEF1
YGR123C		PPEF2
YGR123C		PPP5C
YGR124W		ASNS
YGR127W		C22ORF25
YGR132C		PHB
YGR135W		PSMA4
YGR145W		NOL10
YGR148C		RPL24
YGR152C		DIRAS1
YGR152C		DIRAS2
YGR152C		DIRAS3
YGR152C		RAP2A
YGR152C		RAP2B
YGR152C		RAP2C
YGR155W		CBS
YGR159C		NCL
YGR159C		SART3
YGR162W		EIF4G1
YGR162W		EIF4G2
YGR162W		EIF4G3
YGR163W		RRAGC
YGR163W		RRAGD
YGR169C		RPUSD1
YGR171C		MARS2
YGR172C		YIPF5
YGR172C		YIPF7
YGR173W		DRG2
YGR175C		SQLE
YGR181W		TIMM13
YGR184C		UBR1
YGR184C		UBR2
YGR185C		AIMP1
YGR185C		YARS
YGR187C		FAM203A
YGR187C		FAM203B
YGR188C		BUB1
YGR188C		BUB1B
YGR192C		GAPDHS
YGR194C		XYLB
YGR195W		EXOSC4
YGR195W		EXOSC6
YGR199W		POMT2
YGR200C		ELP2
YGR202C		PCYT1A
YGR202C		PCYT1B
YGR204W		MTHFD2
YGR204W		MTHFD2L
YGR207C		ETFB
YGR208W		PSPH
YGR209C		TXN
YGR209C		TXNDC2
YGR209C		TXNDC8
YGR209C		TXNL1
YGR211W		ZNF259
YGR214W		RPSA
YGR214W		RPSAP58
YGR216C		PIGQ
YGR217W		NALCN
YGR218W		XPO1
YGR220C		MRPL3
YGR227W		ALG10
YGR227W		ALG10B
YGR231C		PHB2
YGR232W		ANKRD1
YGR232W		ANKRD2
YGR232W		ANKRD23
YGR232W		PSMD10
YGR238C		HCFC1
YGR238C		HCFC2
YGR238C		KLHDC10
YGR238C		RABEPK
YGR240C		PFKL
YGR240C		PFKM
YGR240C		PFKP
YGR241C		PICALM
YGR241C		SNAP91
YGR243W		MPC2
YGR244C		SUCLA2
YGR244C		SUCLG2
YGR245C		SDAD1
YGR246C		BRF1
YGR248W		PGLS
YGR252W		BPTF
YGR252W		CECR2
YGR252W		KAT2A
YGR252W		KAT2B
YGR253C		PSMA5
YGR254W		ENO1
YGR254W		ENO2
YGR254W		ENO3
YGR254W		ENO4
YGR255C		COQ6
YGR256W		PGD
YGR257C		SLC25A39
YGR257C		SLC25A40
YGR258C		ERCC5
YGR261C		AP3B1
YGR261C		AP3B2
YGR262C		TP53RK
YGR264C		MARS
YGR267C		GCH1
YGR270W		ATAD2
YGR270W		ATAD2B
YGR271W		HELQ
YGR271W		POLQ
YGR271W		SNRNP200
YGR274C		TAF1
YGR274C		TAF1L
YGR276C		AC004381.6
YGR276C		REXO1
YGR276C		REXO1L1
YGR276C		REXO1L10P
YGR276C		REXO1L11P
YGR277C		COASY
YGR278W		CWC22
YGR280C		PINX1
YGR281W		ABCC11
YGR281W		ABCC12
YGR281W		ABCC5
YGR283C		C9ORF114
YGR284C		SURF4
YGR285C		DNAJC1
YGR285C		DNAJC2
YGR287C		SLC3A1
YGR287C		SLC3A2
YGR292W		SLC3A1
YGR292W		SLC3A2
YHL001W		RPL14
YHL002W		STAM
YHL002W		STAM2
YHL002W		TOM1
YHL002W		TOM1L1
YHL002W		TOM1L2
YHL003C		CERS1
YHL003C		CERS2
YHL003C		CERS3
YHL003C		CERS4
YHL003C		CERS5
YHL003C		CERS6
YHL004W		MRPS2
YHL007C		PAK4
YHL007C		PAK6
YHL007C		PAK7
YHL010C		BRAP
YHL011C		PRPS1
YHL011C		PRPS1L1
YHL011C		PRPS2
YHL011C		PRPSAP1
YHL011C		PRPSAP2
YHL013C		OTUD6A
YHL013C		OTUD6B
YHL015W		RPS20
YHL017W		TMEM87A
YHL017W		TMEM87B
YHL021C		BBOX1
YHL021C		TMLHE
YHL022C		SPO11
YHL030W		KIAA0368
YHL031C		GOSR1
YHL032C		GK
YHL032C		GK2
YHL032C		GK5
YHL033C		RPL7A
YHL036W		SLC7A14
YHL036W		SLC7A3
YHL036W		SLC7A4
YHR001W		OSBPL10
YHR001W		OSBPL11
YHR001W		OSBPL5
YHR001W		OSBPL8
YHR001W		OSBPL9
YHR002W		SLC25A16
YHR002W		SLC25A23
YHR002W		SLC25A24
YHR002W		SLC25A25
YHR002W		SLC25A41
YHR002W		SLC25A42
YHR004C		CTDNEP1
YHR005C		GNA11
YHR005C		GNA12
YHR005C		GNA13
YHR005C		GNA14
YHR005C		GNA15
YHR005C		GNAQ
YHR005C-A		TIMM10
YHR007C		CYP26A1
YHR007C		CYP26B1
YHR007C		CYP26C1
YHR007C		CYP51A1
YHR008C		SOD2
YHR010W		RPL27
YHR011W		FBXO17
YHR011W		SARS2
YHR012W		VPS29
YHR013C		NAA10
YHR013C		NAA11
YHR016C		SH3YL1
YHR018C		AC068533.7
YHR018C		ASL
YHR019C		NARS
YHR020W		EPRS
YHR021C		RPS27
YHR021C		RPS27L
YHR023W		MYH10
YHR023W		MYH11
YHR023W		MYH14
YHR023W		MYH15
YHR023W		MYH7B
YHR023W		MYH9
YHR024C		PMPCA
YHR024C		UQCRC2
YHR026W		ATP6V0B
YHR027C		PSMD2
YHR028C		DPP10
YHR028C		DPP4
YHR028C		DPP6
YHR028C		DPP8
YHR028C		DPP9
YHR028C		FAP
YHR029C		PBLD
YHR030C		UHMK1
YHR031C		PIF1
YHR032W		SLC47A1
YHR032W		SLC47A2
YHR037W		ALDH4A1
YHR039C-A		ATP6V1G1
YHR039C-A		ATP6V1G2
YHR039C-A		ATP6V1G2-DDX39B
YHR039C-A		ATP6V1G3
YHR040W		ZNHIT6
YHR042W		MTRR
YHR042W		NOS1
YHR042W		NOS2
YHR042W		NOS3
YHR042W		POR
YHR046C		IMPA1
YHR046C		IMPA2
YHR047C		ERAP1
YHR047C		ERAP2
YHR047C		LNPEP
YHR047C		NPEPPS
YHR047C		RP11-1407O15.2
YHR049W		OVCA2
YHR050W		SLC11A1
YHR050W		SLC11A2
YHR051W		COX5A
YHR057C		PPIB
YHR057C		PPIC
YHR057C		PPIL1
YHR057C		PPIL2
YHR057C		PPIL4
YHR058C		MED6
